Employee ID ,Region,Birth Country,Birth Date,Start Date,First Name,MI,Last Name,First,Citizenship,Gender,Marital Status
795134,US,US,29-Jul-71,25-Jun-87,Lera,H,Stracener,Lera,US,F,D
623125,US,US,17-Oct-50,29-Jun-93,Syble,R,Tardie,Syble,US,F,S
561531,US,US,5-Oct-51,23-Oct-90,Rosamond,Z,Boesel,Rosamond,US,F,S
301121,US,US,20-Sep-71,22-May-91,Jerome,H,Dul,Jerome,US,M,S
135837,US,US,28-Apr-62,30-Nov-98,Oneida,E,Pendexter,Oneida,US,F,S
133035,US,US,19-Sep-57,6-Feb-94,Joycelyn,H,Born,Joycelyn,US,F,S
839866,US,US,27-Dec-60,14-Feb-80,Myesha,Q,Kahre,Myesha,US,F,S
618934,US,US,22-Apr-76,7-Jul-93,Quinton,Z,Swinny,Quinton,US,M,S
626792,US,US,10-Nov-71,21-Jan-92,Grazyna,Q,Sixon,Grazyna,US,F,D
315815,US,US,19-Jul-60,22-Sep-00,Hanna,G,Mozo,Hanna,US,F,S
890081,US,US,5-Jun-66,5-Oct-87,Hugo,E,Cantrell,Hugo,US,M,M
176244,US,US,8-Feb-79,5-Jun-80,Catherina,M,Schreffler,Catherina,US,F,D
946491,US,US,18-Dec-52,29-May-90,Sharlene,S,Astorino,Sharlene,US,F,D
343370,US,US,9-Aug-74,30-Oct-85,Raphael,U,Gilcrease,Raphael,US,M,M
619535,US,PE,31-Oct-78,1-Aug-06,Alverta,P,Diedrich,Alverta,US,F,S
171104,US,US,18-Nov-59,22-May-80,Veta,W,Mcgibney,Veta,US,F,D
314324,US,US,26-Dec-77,23-May-84,Tresa,P,Tennett,Tresa,US,F,S
802328,US,US,23-Aug-63,13-Sep-83,Darwin,H,Gacke,Darwin,US,M,M
391278,US,US,20-Jun-78,14-Mar-04,Corrina,R,Betry,Corrina,US,F,S
191754,US,US,22-Aug-68,24-Dec-02,Roslyn,P,Schweitz,Roslyn,US,F,M
573360,US,US,25-May-60,10-Apr-96,Dennis,Z,Fruit,Dennis,US,F,S
455672,US,US,29-Dec-66,27-Jul-95,Wally,O,Unrau,Wally,US,M,M
161775,US,US,21-Nov-64,26-Apr-86,Davina,P,Colen,Davina,US,F,D
720758,US,US,7-Mar-63,12-Dec-06,Refugio,P,Buchmeier,Refugio,US,F,S
747352,US,US,4-Aug-74,14-Oct-00,Marti,U,Strait,Marti,US,F,M
435584,US,US,3-Jun-59,2-Oct-00,Nathanael,R,Nooney,Nathanael,US,M,D
950634,US,US,31-Dec-63,4-Jan-07,Tyson,H,Hober,Tyson,US,M,S
478436,US,US,5-Oct-65,24-Feb-87,Mavis,X,Longway,Mavis,US,F,S
778871,US,US,20-Aug-63,17-Aug-02,Dorine,A,Shiminski,Dorine,US,F,S
628335,US,US,26-Dec-59,11-Jan-93,Annis,N,Atkins,Annis,US,F,S
871078,US,US,9-Jan-52,7-Jun-00,Tanisha,L,Schossow,Tanisha,US,F,S
477062,US,US,2-Mar-74,3-Feb-09,Bonny,I,Wark,Bonny,US,F,S
239750,US,US,14-Apr-70,2-May-85,Elyse,I,Barschdoor,Elyse,US,F,M
639710,US,US,24-Feb-75,28-Dec-06,Delma,I,Reichenback,Delma,US,F,S
