Employee ID ,Region,Birth Country,Birth Date,Start Date,First Name,MI,Last Name,First,Citizenship,Gender,Marital Status
100160,US,US,15-Feb-52,31-May-03,Carlota,Y,Bamfield,Carlota,US,F,M
100435,US,US,4-Sep-54,22-Feb-99,Corrin,B,Crutchley,Corrin,US,F,D
100450,US,US,18-Jun-73,19-Nov-86,Lauretta,B,Broadus,Lauretta,US,F,S
100523,US,US,23-Sep-79,29-Sep-83,Pei,G,Mcpeters,Pei,US,F,S
100541,US,US,19-Jul-65,15-May-93,Sheryl,R,Bulin,Sheryl,US,F,S
100725,US,US,30-Jul-68,13-May-81,Rosaline,X,Ingles,Rosaline,US,F,S
100791,US,US,20-Dec-78,14-May-03,Donella,O,Mifflin,Donella,US,F,S
101020,US,US,17-Jun-50,12-Jul-92,Kiana,O,Muenkel,Kiana,US,F,D
101061,US,US,11-Apr-63,30-Oct-08,Doug,B,Haghighi,Doug,US,M,S
101274,US,US,3-Jan-70,15-Mar-99,Reagan,N,Horry,Reagan,US,F,S
